=== Simulation Start ===
[Config] Weapon: シンデレラ's RL
[Config] Type: CHARGE (Class: RL)
[Config] Max Ammo: 50
[Config] Fire Interval (RAPID default): 5
[Skill] 時間:  8.17s | 名前:Skill 1: 追加ダメージ           | Dmg:    75,707 | Hits:1
[Shoot] 時間:  8.52s | 弾数: 28/50  | ペレット: 1 (Hit:1) | Dmg:    59,321 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x2 (Val:0.03)]
[Skill] 時間:  8.52s | 名前:Skill 1: 追加ダメージ           | Dmg:    75,707 | Hits:1
[Shoot] 時間:  8.87s | 弾数: 27/50  | ペレット: 1 (Hit:1) | Dmg:    71,185 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x2 (Val:0.03)]
[Skill] 時間:  8.87s | 名前:Skill 1: 追加ダメージ           | Dmg:    75,707 | Hits:1
[Shoot] 時間:  9.22s | 弾数: 26/50  | ペレット: 1 (Hit:1) | Dmg:    71,779 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間:  9.22s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間:  9.57s | 弾数: 25/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間:  9.57s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間:  9.92s | 弾数: 24/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間:  9.92s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間: 10.27s | 弾数: 23/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間: 10.27s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間: 10.62s | 弾数: 22/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間: 10.62s | 名前:Skill 1: 追加ダメージ           | Dmg:   101,786 | Hits:1
[Shoot] 時間: 10.97s | 弾数: 21/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間: 10.97s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間: 11.32s | 弾数: 20/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間: 11.32s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間: 11.67s | 弾数: 19/50  | ペレット: 1 (Hit:1) | Dmg:    59,816 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x3 (Val:0.05)]
[Skill] 時間: 11.67s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,339 | Hits:1
[Shoot] 時間: 12.02s | 弾数: 18/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 12.02s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 12.37s | 弾数: 17/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 12.37s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 12.72s | 弾数: 16/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 12.72s | 名前:Skill 1: 追加ダメージ           | Dmg:   102,628 | Hits:1
[Shoot] 時間: 13.07s | 弾数: 15/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 13.07s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 13.42s | 弾数: 14/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 13.42s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 13.77s | 弾数: 13/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 13.77s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 14.12s | 弾数: 12/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 14.12s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 14.47s | 弾数: 11/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 14.47s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 14.82s | 弾数: 10/50  | ペレット: 1 (Hit:1) | Dmg:    60,311 | Buffs: charge_speed_rate:1.00 | conversion_hp_to_atk:0.03 | [Beauty x4 (Val:0.06)]
[Skill] 時間: 14.82s | 名前:Skill 1: 追加ダメージ           | Dmg:    76,971 | Hits:1
[Shoot] 時間: 15.17s | 弾数:  9/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 15.17s | 名前:Skill 1: 追加ダメージ           | Dmg:    34,954 | Hits:1
[Shoot] 時間: 15.52s | 弾数:  8/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 15.52s | 名前:Skill 1: 追加ダメージ           | Dmg:    34,954 | Hits:1
[Shoot] 時間: 15.87s | 弾数:  7/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 15.87s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 16.22s | 弾数:  6/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 16.22s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 16.57s | 弾数:  5/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 16.57s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 16.92s | 弾数:  4/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 16.92s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 17.27s | 弾数:  3/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 17.27s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 17.62s | 弾数:  2/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 17.62s | 名前:Skill 1: 追加ダメージ           | Dmg:    34,954 | Hits:1
[Shoot] 時間: 17.97s | 弾数:  1/50  | ペレット: 1 (Hit:1) | Dmg:    21,911 | Buffs: charge_speed_rate:1.00 | [Beauty x5 (Val:0.08)]
[Skill] 時間: 17.97s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 18.32s | 弾数:  0/50  | ペレット: 1 (Hit:1) | Dmg:    27,388 | Buffs: charge_speed_rate:1.00 | [Beauty x6 (Val:0.10)]
[Skill] 時間: 18.32s | 名前:Skill 1: 追加ダメージ           | Dmg:    23,303 | Hits:1
[Shoot] 時間: 21.65s | 弾数: 49/50  | ペレット: 1 (Hit:1) | Dmg:    61,796 | Buffs: conversion_hp_to_atk:0.03 | [Beauty x7 (Val:0.11)]
[Skill] 時間: 21.65s | 名前:Skill 1: 追加ダメージ           | Dmg:   105,155 | Hits:1
